dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,apaddy,ppaddy,ypaddy
20,Sindhuli,2491,central,hill,2010/2011,paddy,8265,19010,2300
20,Sindhuli,2491,central,hill,2011/2012,paddy,10265,32848,3200
20,Sindhuli,2491,central,hill,2012/2013,paddy,11265,34910,3099
20,Sindhuli,2491,central,hill,2013/2014,paddy,14200,46860,3300
20,Sindhuli,2491,central,hill,2014/2015,paddy,13000,41600,3200
21,Ramechhap,1546,central,hill,2000/2001,paddy,6830,14543,2129
21,Ramechhap,1546,central,hill,2001/2002,paddy,7872,17010,2161
21,Ramechhap,1546,central,hill,2002/2003,paddy,7872,17010,2161
21,Ramechhap,1546,central,hill,2003/2004,paddy,7872,17010,2161
21,Ramechhap,1546,central,hill,2004/2005,paddy,8673,18742,2161
21,Ramechhap,1546,central,hill,2005/2006,paddy,8643,14000,1620
21,Ramechhap,1546,central,hill,2006/2007,paddy,8743,15757,1802
21,Ramechhap,1546,central,hill,2007/2008,paddy,8743,15757,1802
21,Ramechhap,1546,central,hill,2008/2009,paddy,8743,15757,1802
21,Ramechhap,1546,central,hill,2009/2010,paddy,8743,15757,1802
21,Ramechhap,1546,central,hill,2010/2011,paddy,9460,25049,2648
21,Ramechhap,1546,central,hill,2011/2012,paddy,9408,30199,3210
21,Ramechhap,1546,central,hill,2012/2013,paddy,9408,26530,2820
21,Ramechhap,1546,central,hill,2013/2014,paddy,9508,25862,2720
21,Ramechhap,1546,central,hill,2014/2015,paddy,9408,26164,2781
22,Dolakha,2191,central,mountain,2000/2001,paddy,3100,7750,2500
22,Dolakha,2191,central,mountain,2001/2002,paddy,3110,7464,2400
22,Dolakha,2191,central,mountain,2002/2003,paddy,3110,7464,2400
22,Dolakha,2191,central,mountain,2003/2004,paddy,3110,7464,2400
22,Dolakha,2191,central,mountain,2004/2005,paddy,3113,7938,2550
22,Dolakha,2191,central,mountain,2005/2006,paddy,3115,7235,2323
22,Dolakha,2191,central,mountain,2006/2007,paddy,3125,6318,2022
22,Dolakha,2191,central,mountain,2007/2008,paddy,3125,6318,2022
22,Dolakha,2191,central,mountain,2008/2009,paddy,3125,6318,2022
22,Dolakha,2191,central,mountain,2009/2010,paddy,3133,6250,1995
22,Dolakha,2191,central,mountain,2010/2011,paddy,3133,6304,2012
22,Dolakha,2191,central,mountain,2011/2012,paddy,3135,9248,2950
