dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,amillet,pmillet,ymillet
10,Bhojpur,1507,easter d,hill,2004/2005,Millet,5439,5439,1000
10,Bhojpur,1507,easter d,hill,2005/2006,Millet,5439,5439,1000
10,Bhojpur,1507,easter d,hill,2006/2007,Millet,5226,5136,983
10,Bhojpur,1507,easter d,hill,2007/2008,Millet,4600,4500,978
10,Bhojpur,1507,easter d,hill,2008/2009,Millet,4600,4500,978
10,Bhojpur,1507,easter d,hill,2009/2010,Millet,5136,5236,1019
10,Bhojpur,1507,easter d,hill,2010/2011,Millet,5100,5100,1000
10,Bhojpur,1507,easter d,hill,2011/2012,Millet,5505,4954,900
10,Bhojpur,1507,easter d,hill,2012/2013,Millet,5505,4404,800
10,Bhojpur,1507,easter d,hill,2013/2014,Millet,5500,5000,909
10,Bhojpur,1507,easter d,hill,2014/2015,Millet,5505,4404,800
11,Solukhumbu,3312,easter d,mountain,2000/2001,Millet,2000,2500,1250
11,Solukhumbu,3312,easter d,mountain,2001/2002,Millet,2000,2000,1000
11,Solukhumbu,3312,easter d,mountain,2002/2003,Millet,2000,2000,1000
11,Solukhumbu,3312,easter d,mountain,2003/2004,Millet,2000,2000,1000
11,Solukhumbu,3312,easter d,mountain,2004/2005,Millet,2000,2000,1000
11,Solukhumbu,3312,easter d,mountain,2005/2006,Millet,2000,2100,1050
11,Solukhumbu,3312,easter d,mountain,2006/2007,Millet,2000,2100,1050
11,Solukhumbu,3312,easter d,mountain,2007/2008,Millet,2052,2566,1250
11,Solukhumbu,3312,easter d,mountain,2008/2009,Millet,2052,2566,1250
11,Solukhumbu,3312,easter d,mountain,2009/2010,Millet,2100,2100,1000
11,Solukhumbu,3312,easter d,mountain,2010/2011,Millet,2100,2625,1250
11,Solukhumbu,3312,easter d,mountain,2011/2012,Millet,2100,2940,1400
11,Solukhumbu,3312,easter d,mountain,2012/2013,Millet,2100,2520,1200
11,Solukhumbu,3312,easter d,mountain,2013/2014,Millet,2100,2688,1280
11,Solukhumbu,3312,easter d,mountain,2014/2015,Millet,2100,2688,1280
12,Okhaldhunga,1074,easter d,hill,2000/2001,Millet,7270,8725,1200
12,Okhaldhunga,1074,easter d,hill,2001/2002,Millet,6980,8380,1201
12,Okhaldhunga,1074,easter d,hill,2002/2003,Millet,6980,8380,1201
12,Okhaldhunga,1074,easter d,hill,2003/2004,Millet,6980,8380,1201
12,Okhaldhunga,1074,easter d,hill,2004/2005,Millet,6980,10380,1487
12,Okhaldhunga,1074,easter d,hill,2005/2006,Millet,7750,10388,1340
12,Okhaldhunga,1074,easter d,hill,2006/2007,Millet,7750,9380,1210
12,Okhaldhunga,1074,easter d,hill,2007/2008,Millet,7756,10100,1302
12,Okhaldhunga,1074,easter d,hill,2008/2009,Millet,7756,10100,1302
12,Okhaldhunga,1074,easter d,hill,2009/2010,Millet,8785,12299,1400
12,Okhaldhunga,1074,easter d,hill,2010/2011,Millet,8785,11865,1351
12,Okhaldhunga,1074,easter d,hill,2011/2012,Millet,7790,11840,1520
12,Okhaldhunga,1074,easter d,hill,2012/2013,Millet,7751,9998,1290
12,Okhaldhunga,1074,easter d,hill,2013/2014,Millet,7751,12401,1600
12,Okhaldhunga,1074,easter d,hill,2014/2015,Millet,7751,12626,1629
13,Khotang,1591,easter d,hill,2000/2001,Millet,14000,11500,821
13,Khotang,1591,easter d,hill,2001/2002,Millet,13600,12600,926
13,Khotang,1591,easter d,hill,2002/2003,Millet,13600,12600,926
13,Khotang,1591,easter d,hill,2003/2004,Millet,13600,12600,926
13,Khotang,1591,easter d,hill,2004/2005,Millet,14270,14000,981
13,Khotang,1591,easter d,hill,2005/2006,Millet,14270,14000,981
13,Khotang,1591,easter d,hill,2006/2007,Millet,14270,14000,981
