dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,amaize,pmaize,ymaize
19,Sarlahi,1259,central,terai,2012/2013,maize,3655,19677,5384
19,Sarlahi,1259,central,terai,2013/2014,maize,5440,25283,4648
19,Sarlahi,1259,central,terai,2014/2015,maize,5500,15000,2727
20,Sindhuli,2491,central,hill,2000/2001,maize,15342,31006,2021
20,Sindhuli,2491,central,hill,2001/2002,maize,14887,32007,2150
20,Sindhuli,2491,central,hill,2002/2003,maize,14887,32007,2150
20,Sindhuli,2491,central,hill,2003/2004,maize,14887,32007,2150
20,Sindhuli,2491,central,hill,2004/2005,maize,15102,35308,2338
20,Sindhuli,2491,central,hill,2005/2006,maize,15400,36030,2340
20,Sindhuli,2491,central,hill,2006/2007,maize,16500,38693,2345
20,Sindhuli,2491,central,hill,2007/2008,maize,16500,38693,2345
20,Sindhuli,2491,central,hill,2008/2009,maize,16500,38693,2345
20,Sindhuli,2491,central,hill,2009/2010,maize,16500,31503,1909
20,Sindhuli,2491,central,hill,2010/2011,maize,18535,39423,2127
20,Sindhuli,2491,central,hill,2011/2012,maize,15450,40170,2600
20,Sindhuli,2491,central,hill,2012/2013,maize,18510,44410,2399
20,Sindhuli,2491,central,hill,2013/2014,maize,23642,59577,2520
20,Sindhuli,2491,central,hill,2014/2015,maize,23620,58500,2477
21,Ramechhap,1546,central,hill,2000/2001,maize,14500,30015,2070
21,Ramechhap,1546,central,hill,2001/2002,maize,15100,32090,2125
21,Ramechhap,1546,central,hill,2002/2003,maize,15100,32090,2125
21,Ramechhap,1546,central,hill,2003/2004,maize,15100,32090,2125
21,Ramechhap,1546,central,hill,2004/2005,maize,20005,46112,2305
21,Ramechhap,1546,central,hill,2005/2006,maize,21502,40805,1898
21,Ramechhap,1546,central,hill,2006/2007,maize,23008,46016,2000
21,Ramechhap,1546,central,hill,2007/2008,maize,23008,46016,2000
21,Ramechhap,1546,central,hill,2008/2009,maize,23008,46016,2000
21,Ramechhap,1546,central,hill,2009/2010,maize,23008,46016,2000
21,Ramechhap,1546,central,hill,2010/2011,maize,18041,36800,2040
21,Ramechhap,1546,central,hill,2011/2012,maize,20041,50102,2500
21,Ramechhap,1546,central,hill,2012/2013,maize,21398,51355,2400
21,Ramechhap,1546,central,hill,2013/2014,maize,21480,57352,2670
21,Ramechhap,1546,central,hill,2014/2015,maize,21398,53922,2520
22,Dolakha,2191,central,mountain,2000/2001,maize,5350,9095,1700
22,Dolakha,2191,central,mountain,2001/2002,maize,5360,10649,1987
22,Dolakha,2191,central,mountain,2002/2003,maize,5360,9648,1800
22,Dolakha,2191,central,mountain,2003/2004,maize,5360,9648,1800
22,Dolakha,2191,central,mountain,2004/2005,maize,5370,9934,1850
22,Dolakha,2191,central,mountain,2005/2006,maize,5372,9950,1852
22,Dolakha,2191,central,mountain,2006/2007,maize,5390,10800,2004
22,Dolakha,2191,central,mountain,2007/2008,maize,5390,10800,2004
22,Dolakha,2191,central,mountain,2008/2009,maize,5390,10800,2004
22,Dolakha,2191,central,mountain,2009/2010,maize,5387,12336,2290
22,Dolakha,2191,central,mountain,2010/2011,maize,5387,12336,2290
22,Dolakha,2191,central,mountain,2011/2012,maize,8454,21135,2500
22,Dolakha,2191,central,mountain,2012/2013,maize,5009,10485,2093
22,Dolakha,2191,central,mountain,2013/2014,maize,5450,11718,2150
22,Dolakha,2191,central,mountain,2014/2015,maize,5700,12825,2250
23,Sindhupalchok,2542,central,mountain,2000/2001,maize,20547,40683,1980
23,Sindhupalchok,2542,central,mountain,2001/2002,maize,21600,43200,2000
23,Sindhupalchok,2542,central,mountain,2002/2003,maize,21866,46454,2124
23,Sindhupalchok,2542,central,mountain,2003/2004,maize,21866,46454,2124
23,Sindhupalchok,2542,central,mountain,2004/2005,maize,22366,50324,2250
23,Sindhupalchok,2542,central,mountain,2005/2006,maize,21400,44940,2100
23,Sindhupalchok,2542,central,mountain,2006/2007,maize,21000,47250,2250
23,Sindhupalchok,2542,central,mountain,2007/2008,maize,21000,47250,2250
23,Sindhupalchok,2542,central,mountain,2008/2009,maize,21895,51490,2352
23,Sindhupalchok,2542,central,mountain,2009/2010,maize,21800,46500,2133
23,Sindhupalchok,2542,central,mountain,2010/2011,maize,23920,52624,2200
23,Sindhupalchok,2542,central,mountain,2011/2012,maize,24925,57078,2290
23,Sindhupalchok,2542,central,mountain,2012/2013,maize,24900,50833,2041
23,Sindhupalchok,2542,central,mountain,2013/2014,maize,24907,53958,2166
23,Sindhupalchok,2542,central,mountain,2014/2015,maize,24900,53301,2141
24,Kavrepalanchok,1396,central,hill,2000/2001,maize,25500,50900,1996
24,Kavrepalanchok,1396,central,hill,2001/2002,maize,25500,58320,2287
24,Kavrepalanchok,1396,central,hill,2002/2003,maize,25000,59000,2360
24,Kavrepalanchok,1396,central,hill,2003/2004,maize,25000,59000,2360
24,Kavrepalanchok,1396,central,hill,2004/2005,maize,23200,53400,2302
24,Kavrepalanchok,1396,central,hill,2005/2006,maize,23200,53500,2306
24,Kavrepalanchok,1396,central,hill,2006/2007,maize,23200,53500,2306
24,Kavrepalanchok,1396,central,hill,2007/2008,maize,23200,55640,2398
24,Kavrepalanchok,1396,central,hill,2008/2009,maize,24279,56288,2318
24,Kavrepalanchok,1396,central,hill,2009/2010,maize,24279,56288,2318
24,Kavrepalanchok,1396,central,hill,2010/2011,maize,24279,56096,2310
24,Kavrepalanchok,1396,central,hill,2011/2012,maize,24300,62937,2590
24,Kavrepalanchok,1396,central,hill,2012/2013,maize,25353,48334,1906
24,Kavrepalanchok,1396,central,hill,2013/2014,maize,24278,51592,2125
24,Kavrepalanchok,1396,central,hill,2014/2015,maize,25354,60849,2400
25,Lalitpur,385,central,hill,2000/2001,maize,6470,10915,1687
25,Lalitpur,385,central,hill,2001/2002,maize,6125,18070,2950
25,Lalitpur,385,central,hill,2002/2003,maize,6150,17089,2779
25,Lalitpur,385,central,hill,2003/2004,maize,6150,17089,2779
25,Lalitpur,385,central,hill,2004/2005,maize,8649,23352,2700
25,Lalitpur,385,central,hill,2005/2006,maize,8649,23352,2700
25,Lalitpur,385,central,hill,2006/2007,maize,8940,17775,1988
25,Lalitpur,385,central,hill,2007/2008,maize,8640,18500,2141
25,Lalitpur,385,central,hill,2008/2009,maize,8640,18500,2141
25,Lalitpur,385,central,hill,2009/2010,maize,8530,19543,2291
25,Lalitpur,385,central,hill,2010/2011,maize,8589,22979,2675
25,Lalitpur,385,central,hill,2011/2012,maize,10806,34579,3200
25,Lalitpur,385,central,hill,2012/2013,maize,8589,24049,2800
25,Lalitpur,385,central,hill,2013/2014,maize,8589,24908,2900
25,Lalitpur,385,central,hill,2014/2015,maize,8589,26626,3100
26,Bhaktapur,119,central,hill,2000/2001,maize,2100,7035,3350
26,Bhaktapur,119,central,hill,2001/2002,maize,2037,6702,3290
26,Bhaktapur,119,central,hill,2002/2003,maize,2037,6702,3290
26,Bhaktapur,119,central,hill,2003/2004,maize,2037,6702,3290
26,Bhaktapur,119,central,hill,2004/2005,maize,2040,6120,3000
26,Bhaktapur,119,central,hill,2005/2006,maize,2040,6120,3000
26,Bhaktapur,119,central,hill,2006/2007,maize,2035,6100,2998
26,Bhaktapur,119,central,hill,2007/2008,maize,2035,6441,3165
26,Bhaktapur,119,central,hill,2008/2009,maize,2035,6441,3165
26,Bhaktapur,119,central,hill,2009/2010,maize,1793,5269,2939
